-42,59,-19
-31,64,-14
-24,65,-14
-18,66,-10
-15,64,-6
-15,63,-6
-11,60,-1
-15,57,-3
-17,56,-3
-22,56,0
-26,57,1
-34,60,0
-36,60,1
-39,62,4
-40,62,4
-41,60,4
-39,58,5
-35,57,7
-33,57,5
-30,57,3
-29,57,2
-25,58,0
-22,58,0
-19,60,0
-19,60,0
-19,59,2
-21,59,3
-22,59,4
-27,62,10
-32,62,11
-34,62,12
-35,63,8
-32,61,5
-29,61,4
-24,62,4
-23,60,5
-21,56,6
-23,55,8
-26,56,8
-26,57,8
-26,59,7
-28,58,7
-29,56,8
-29,56,9
-30,57,9
-29,56,9
-29,58,8
-27,58,9
-25,57,11
-24,58,11
-25,59,11
-24,59,11
-23,60,11
-22,59,11
-22,59,12
-21,59,12
-21,59,12
-25,60,12
-26,60,12
-27,58,13
-27,57,13
-26,57,12
-25,56,11
-23,58,7
-22,59,7
-22,60,8
-23,59,9
-24,58,14
-24,57,15
-26,57,14
-27,58,11
-27,59,10
-28,60,11
-27,60,11
-26,59,11
-26,59,11
-25,57,12
-25,57,12
-25,58,11
-24,59,12
-25,59,12
-25,59,12
-25,58,12
-25,58,12
-23,58,11
-23,59,10
-23,59,11
