29,30,43
28,30,42
26,32,42
25,33,43
25,35,47
26,35,49
30,37,53
27,39,54
21,36,51
22,32,50
25,28,50
26,27,50
28,28,51
29,28,50
31,29,52
31,30,53
31,33,57
30,34,56
26,30,51
28,27,51
29,23,50
28,21,50
22,20,51
17,19,52
16,17,52
17,13,52
19,11,53
20,9,54
21,8,54
24,9,55
25,11,56
27,16,57
24,20,57
22,23,56
24,23,55
27,25,56
26,25,55
24,24,51
24,23,50
30,20,49
33,20,49
36,20,50
36,20,51
33,19,49
34,18,47
38,18,49
44,23,54
46,25,56
39,27,55
32,25,53
26,17,47
29,13,45
37,5,45
40,4,46
43,6,50
41,7,52
36,9,55
35,10,55
33,10,55
35,9,55
35,8,55
35,8,55
33,10,55
33,11,55
32,13,56
29,15,58
31,17,60
38,20,63
34,21,61
20,17,54
17,16,52
16,15,46
20,13,45
29,12,43
33,13,44
32,15,45
29,16,45
25,18,47
24,18,48
28,18,51
32,18,53
36,17,54
33,15,54
28,13,51
28,11,51
34,10,53
37,11,55
41,16,59
35,18,56
34,19,55
35,17,53
36,17,52
34,19,51
35,19,50
37,19,50
38,21,51
37,24,51
36,25,51
37,25,51
37,25,51
33,25,50
32,25,50
31,23,49
30,22,47
29,20,43
29,19,41
34,17,40
40,12,36
41,11,35
43,11,38
45,12,39
45,14,44
42,18,42
52,17,42
50,16,39
49,14,33
48,10,29
58,7,25
66,7,25
72,7,25
70,3,24
54,-12,15
49,-16,17
43,-21,19
41,-20,15
61,-15,15
66,-8,17
62,13,18
63,20,26
50,26,28
46,33,28
45,35,33
39,39,32
36,40,26
33,40,22
34,41,20
36,48,20
37,56,20
46,65,23
40,65,24
38,58,24
32,52,26
38,62,28
38,77,30
27,76,31
21,68,25
14,51,16
16,52,20
14,50,23
18,48,24
19,45,25
17,41,23
17,39,22
21,38,25
19,39,23
33,41,29
31,42,28
56,44,38
61,47,42
60,48,34
65,54,39
74,59,51
72,52,52
71,36,48
72,37,51
67,34,56
69,27,59
64,22,68
57,23,62
48,25,49
47,26,45
38,25,35
35,19,28
21,6,22
7,-6,17
3,-6,16
-3,1,17
13,1,21
40,7,53
50,18,67
41,15,48
32,14,46
24,24,55
16,27,53
14,18,55
23,24,71
9,16,66
61,13,69
47,18,60
-15,7,74
27,-13,55
10,-12,59
13,-2,59
1,-7,61
16,-11,58
11,-17,60
13,-9,68
14,-15,65
13,-12,63
14,-13,63
13,-14,60
18,-22,52
19,-34,31
40,-47,21
60,-21,51
48,5,71
29,22,84
39,-21,55
3,-3,48
2,1,48
5,16,68
18,25,49
5,26,18
34,42,56
41,33,47
37,27,39
48,12,41
56,16,50
46,22,41
44,22,30
16,28,24
28,31,35
47,36,56
49,38,59
36,37,44
34,38,37
35,43,33
33,44,31
23,43,25
23,42,20
36,44,34
31,48,35
23,49,34
32,55,37
11,61,31
21,56,41
31,47,30
29,50,27
22,55,22
6,87,-14
23,90,27
35,60,29
14,55,32
31,50,26
29,58,28
27,58,34
30,50,42
31,35,25
35,51,28
29,56,37
24,61,44
23,56,44
24,55,40
27,46,24
34,46,25
33,46,28
22,49,29
34,47,29
32,47,27
31,45,26
32,43,29
34,45,31
44,51,31
